IdPuntoRecarga|Operador|Direccion|CodPostal|Provincia|Municipio|Localizacion|CoordenadaXDec|CoordenadaYDec|PotenciaMaxima
ES*FCT*E227708|CHARGING TOGETHER SL|Monte Amor,1|28669|MADRID|BOADILLA DEL MONTE|APARCAMIENTO ÁEREO|-3.898342|40.412853|300.00
ES*FCT*E227706|CHARGING TOGETHER SL|Industria,6|19200|GUADALAJARA|AZUQUECA DE HENARES|APARCAMIENTO ÁEREO|-3.24951|40.57081|300.00
ES*FCT*E227707|CHARGING TOGETHER SL|Reyes Catolicos,123|2600|ALBACETE|VILLARROBLEDO|APARCAMIENTO ÁEREO|-2.591971|39.276689|300.00
ES*FCT*E227712|CHARGING TOGETHER SL|Sanguiñeda Monte,118|36419|PONTEVEDRA|MOS|APARCAMIENTO ÁEREO|-8.626205|42.168481|300.00
ES*FCT*E227714|CHARGING TOGETHER SL|Castellon,25|12412|CASTELLON|GELDO|EN LA CALLE|-0.467797|39.83436|300.00
ES*FCT*E227720|CHARGING TOGETHER SL|Avda. Pedernales,4|9001|BURGOS|VILLAGONZALO PEDERNALES|APARCAMIENTO ÁEREO|-3.702918|42.307321|350.00
ES*FCT*E227716|CHARGING TOGETHER SL|Cami De La Bassa Dels Moros,7|3202|ALICANTE|ELCHE/ELX|APARCAMIENTO ÁEREO|-0.690474|38.272591|120.00
ES*FCT*E227736|CHARGING TOGETHER SL|Cl Mostoles 61,S/N|28942|MADRID|FUENLABRADA|EN LA CALLE|-3.811301|40.29401|150.00
ES*FCT*E227738|CHARGING TOGETHER SL|De Denia,S/N|3186|ALICANTE|TORREVIEJA|EN LA CALLE|-0.74301|37.968701|150.00
ES*FCT*E227740|CHARGING TOGETHER SL|Cl Mazo S/N,S/N|28923|MADRID|ALCORCON|EN LA CALLE|-3.80548|40.34324|150.00
ES*FCT*E227722|CHARGING TOGETHER SL|Madrid-Coruña Nac.Vi C/ Cruce 6.22,303|24750|LEON|LA BAÑEZA|APARCAMIENTO ÁEREO|-5.913263|42.286952|350.00
ES*FCT*E227742|CHARGING TOGETHER SL|Quinto Centenario,S/N|11540|CADIZ|SANLUCAR DE BARRAMEDA|EN LA CALLE|-6.3563|36.7716|150.00
ES*FCT*E227744|CHARGING TOGETHER SL|Comercial Viapark, Parc. 4,S/N|4738|ALMERIA|VICAR|EN LA CALLE|-2.5998|36.8164|150.00
ES*FCT*E227746|CHARGING TOGETHER SL|Carretera Avd.De La Industria Km. 15,S/N|28970|MADRID|HUMANES DE MADRID|EN LA CALLE|-3.8131|40.27415|150.00
ES*FCT*E227748|CHARGING TOGETHER SL|C. Federico García Lorca. 3.,S/N|28810|MADRID|VILLALBILLA|EN LA CALLE|-3.32223|40.44449|150.00
ES*FCT*E227750|CHARGING TOGETHER SL|Mallorca,S/N|3580|ALICANTE|L'ALFAS DEL PI|EN LA CALLE|-0.0966|38.5713|150.00
ES*FCT*E227752|CHARGING TOGETHER SL|Cl Dels Coeters. 14,S/N|46014|VALENCIA|VALENCIA|EN LA CALLE|-0.404252|39.456804|150.00
ES*FCT*E227754|CHARGING TOGETHER SL|Villamartin S/N Orihuela Costa,S/N|3189|ALICANTE|ORIHUELA|EN LA CALLE|-0.735901|37.92701|150.00
ES*FCT*E227756|CHARGING TOGETHER SL|Via Favencia 121,S/N|8042|BARCELONA|BARCELONA|EN LA CALLE|2.170945|41.443612|150.00
ES*FCT*E227758|CHARGING TOGETHER SL|Cl Diesel C/V P John Lennon. S.N.,S/N|28906|MADRID|GETAFE|EN LA CALLE|-3.702273|40.303851|150.00
ES*FCT*E227760|CHARGING TOGETHER SL|Cr. M-406 10,S/N|28907|MADRID|GETAFE|EN LA CALLE|-3.744087|40.317477|150.00
ES*FCT*E227762|CHARGING TOGETHER SL|Carretera M-506. Km9,S/N|28922|MADRID|ALCORCON|EN LA CALLE|-3.847671|40.326527|150.00
ES*FCT*E227764|CHARGING TOGETHER SL|N-Iv Km. 649.8,S/N|11500|CADIZ|EL PUERTO DE SANTA MARIA|EN LA CALLE|-6.2073|36.6196|150.00
ES*FCT*E227766|CHARGING TOGETHER SL|Constitucion,S/N|11540|CADIZ|SANLUCAR DE BARRAMEDA|EN LA CALLE|-6.3463|36.7703|150.00
ES*FCT*E227770|CHARGING TOGETHER SL|M.Valdelatas/Sepulveda,S/N|28108|MADRID|ALCOBENDAS|EN LA CALLE|-3.6599|40.5284|150.00
ES*FCT*E227768|CHARGING TOGETHER SL|C/ Camino De La Paridera Nº 2,S/N|46220|VALENCIA|PICASSENT|EN LA CALLE|-0.455567|39.360634|150.00
ES*FCT*E227772|CHARGING TOGETHER SL|Av Maria Zambrano Sn,S/N|29006|MALAGA|MALAGA|EN LA CALLE|-4.4674|36.71217|150.00
ES*FCT*E227774|CHARGING TOGETHER SL|Avenida De Mostoles S/N,S/N|28922|MADRID|ALCORCON|EN LA CALLE|-3.853901|40.33301|150.00
ES*FCT*E227776|CHARGING TOGETHER SL|Cr Torrejon-Loeches Km 1.100,S/N|28850|MADRID|TORREJON DE ARDOZ|EN LA CALLE|-3.463601|40.44201|150.00
ES*FCT*E229139|CHARGING TOGETHER SL|Vejer De La Frontera,S/N|11011|CADIZ|CADIZ|A LO LARGO DE LA AUTOPISTA|-6.27068|36.50079|150.00
ES*FCT*E228449|CHARGING TOGETHER SL|Alcora,S/N|12550|CASTELLON|ALMASSORA|A LO LARGO DE LA AUTOPISTA|-0.075426|39.951374|100.00
ES*FCT*E229387|CHARGING TOGETHER SL|Les Eres ,Parcela 7|43440|TARRAGONA|ESPLUGA DE FRANCOLI|A LO LARGO DE LA AUTOPISTA|1.10504|41.40307|100.00
ES*FCT*E227779|CHARGING TOGETHER SL|Denia,80|3016|ALICANTE|ALICANTE|EN LA CALLE|-0.46696|38.359121|150.00
ES*FCT*E227781|CHARGING TOGETHER SL|Calle Narciso Monturiol. 32,S/N|28341|MADRID|VALDEMORO|EN LA CALLE|-3.664653|40.163495|150.00
ES*FCT*E227783|CHARGING TOGETHER SL|Fuenteamarga Esq. Carr. De Las Lagunas,S/N|11130|CADIZ|CHICLANA DE LA FRONTERA|EN LA CALLE|-6.146459|36.394318|150.00
ES*FCT*E227785|CHARGING TOGETHER SL|Avenida Centenario De La Aviacion 1,S/N|11520|CADIZ|ROTA|EN LA CALLE|-6.3706|36.6361|150.00
ES*FCT*E227787|CHARGING TOGETHER SL|Cuesta De Los Callejones Km 1,S/N|4009|ALMERIA|ALMERIA|EN LA CALLE|-2.4486|36.8653|150.00
ES*FCT*E227789|CHARGING TOGETHER SL|C. Escofina (Poligono Ind. P-29),S/N|28400|MADRID|COLLADO VILLALBA|EN LA CALLE|-4.018414|40.627889|150.00
ES*FCT*E227791|CHARGING TOGETHER SL|Barrio Brazomar S/N,S/N|39709|CANTABRIA|CASTRO URDIALES|EN LA CALLE|-3.2129|43.3688|150.00
ES*FCT*E227793|CHARGING TOGETHER SL|Avd. Juan Carlos I. 85,S/N|30310|MURCIA|CARTAGENA|EN LA CALLE|-1.003306|37.628715|150.00
ES*FCT*E227795|CHARGING TOGETHER SL|Cl Martinez Maldonado 62,S/N|29010|MALAGA|MALAGA|EN LA CALLE|-4.43923|36.72165|150.00
